ID,Assignee,Documents Topic,Document Content
1,Quân,"Quá trình hình thành của MB Bank
Insight về thông tin tuyển dụng, môi trường làm việc","Insight về thông tin tuyển dụng, môi trường làm việc

Nhóm giải thưởng, thành tích về Công nghệ/Đổi mới và Số hóa:
- Giải thưởng Sao Khuê 2023. Đây cũng là lần thứ năm liên tiếp (2019-2023) MB nhận giải thưởng danh giá 
- Breakthrough Digital Initiatives 2023 – Sáng kiến số hóa đột phá - trao tặng bởi Tổ chức thẻ Quốc tế Mastercard 
- Innovation Excellence Award do Oracle vinh danh 
- Model Risk Manager (Đơn vị Quản trị rủi ro kiểu mẫu) nhờ những nỗ lực đẩy mạnh ứng dụng công nghệ cho tất cả các mảng QTRR - trao tặng bởi Celent - Công ty Nghiên cứu và Tư vấn cho ngành Công nghiệp dịch vụ tài chính toàn cầu 3.2. 

"
2,Quân,"Nhóm giải thưởng, thành tích về Công nghệ/Đổi mới và Số hóa",
,Quân,Nhóm giải thưởng thành tích về Tài chính - Ngân hàng,"Insight về thông tin tuyển dụng, môi trường làm việc

Nhóm giải thưởng thành tích về Tài chính - Ngân hàng: 
- Top 5 ngân hàng thương mại uy tín Việt Nam năm 2023 
- Đón nhận 2 giải thưởng: 
   + Ngân hàng Chuyển đổi Số Tiêu biểu và Ngân hàng có Sản phẩm Dịch vụ Sáng tạo Tiêu biểu trong sự kiện Ngân hàng Việt Nam Tiêu biểu, tại sự kiện giải thưởng Ngân hàng Việt Nam tiêu biểu được tổ chức bởi Tập đoàn Dữ liệu Quốc Tế (IDG) 
   + Ngân hàng tư nhân có chỉ số sức mạnh thương hiệu lớn nhất Việt Nam 
- Top 2 Thương hiệu mạnh nhất Việt Nam 2023 
- Ngân hàng tư nhân tăng trưởng thứ hạng nhanh nhất Việt Nam 
- Dựa trên giá trị thương hiệu (2022 xếp thứ 17, 2023 xếp thứ 13) MB trở thành top 10 Thương hiệu có giá trị nhất dựa trên giá trị nhận thức bền vững "
,Quân,"
Nhóm giải thưởng, thành tích về Tuyển dụng/Nguồn nhân lực","
Nhóm giải thưởng, thành tích về Tuyển dụng/Nguồn nhân lực: 
- Top 3 Nơi làm việc tốt nhất Việt Nam ngành Ngân hàng, Khối Doanh nghiệp lớn 
- Top 50 thương hiệu nhà tuyển dụng hấp dẫn với sinh viên Việt Nam 2023 - trao tặng bởi Alphabe"
3,Quân,"Motivation insights: điều tạo động lực cho ứng viên hoặc những người trẻ
","Insight về thông tin tuyển dụng, môi trường làm việc

- 30 năm thành lập: Từ một ngân hàng chỉ với 25 nhân sự, sau 30 năm, MB chuyển mình thành một tập đoàn tài chính đa năng, không ngừng tăng tốc chuyển đổi số, với hơn 10.000 nhân sự 
- Tầm nhìn: Trở thành doanh nghiệp số - Tập đoàn tài chính dẫn đầu => 2018, MB MB sau 5 năm chuyển đổi số: Doanh thu tăng đều đặn 18-20%/năm mà gần như không tăng về quy mô chi nhánh và nhân viên, dẫn đầu về lượng người dùng app. 
- Năm 2021, MB triển khai 201 dự án công nghệ, khoảng 10 giờ làm việc xuất hiện một dự án công nghệ mới. 
- MB triển khai 223 dự án công nghệ trong năm 2022, tức trung bình một dự án công nghệ được hoàn thành chỉ trong 1,6 ngày
- MB sau 5 năm chuyển đổi số: Doanh thu tăng đều đặn 18-20%/năm mà không cần thêm nhân viên, top đầu về lượng người dùng app.

- Chủ tịch HĐQT Lưu Trung Thái chia sẻ thêm về điều này “MB xác định các nền tảng số sẽ đóng góp khoảng 50% doanh thu cho ngân hàng trong vòng 4 năm nữa. Hiện nay, sau khoảng 4 năm triển khai chiến lược này thì doanh thu trên nền tảng số đã đạt 20%” => “Thực sự quá trình chuyển đổi số không có nghĩa chúng ta phải lập tức đầu tư số tiền lớn. Chuyển đổi số hay xây dựng các nền tảng bắt đầu từ những việc nhỏ rồi kiểm nghiệm. Sau khi những kiểm nghiệm có kết quả tương đối thành công thì mới chuyển sang đầu tư lớn. Khi có dấu hiệu là đã đi đúng hướng, MB đã đầu tư rất lớn"", 
- Chủ tịch HĐQT Lưu Trung Thái bày tỏ - “95% là tỷ lệ giữ chân nhân sự có thâm niên trên 3 năm trong năm 2023” 
Lý do: 
+ Chế độ lương thưởng và phúc lợi của MB thường xuyên được điều chỉnh phù hợp với mức độ trưởng thành và khả năng quản trị của tổ chức trong giai đoạn mới, thu hút và giữ chân nhân tài nhằm thực hiện các mục tiêu chiến lược 2022 – 2026 
+ Năm 2022, thu nhập bình quân của cán bộ nhân viên đạt 35.21 triệu đồng trên tháng, tăng 11% so với năm 2021. 
+ Năm 2023, thu nhập bình quân của cán bộ nhân viên đạt 35,4 triệu đồng/tháng, duy trì mức thu nhập không thấp hơn năm 2022 (35,21 triệu đồng/tháng) trong điều kiện nền kinh tế năm 2023 vô cùng khó khăn sau đại dịch Covid 
+ Internal recruitment - Tuyển dụng nội bộ được chú trọng
+ - Kinh doanh là trụ cột, tín dụng là trái tim của mọi ngân hàng, đó là lí do mà Chủ tịch, Tổng Giám đốc của MB đều đi lên từ vị trí Chuyên viên Khách hàng Cá nhân
"
4,Quân,"7 nhóm nghề nghiệp, 17 nhóm công việc tại MB
Insight về thông tin tuyển dụng, môi trường làm việc","Insight về thông tin tuyển dụng, môi trường làm việc Chức năng/tính chất các nhóm nghề nghiệp: 

Link ảnh sơ đồ: https://i.imgur.com/KCZUvt3.png

1. Nhóm nghề nghiệp “Tài chính & Chiến lược” gồm các nhóm công việc: 
- Tính chất công việc: Phân tích, báo cáo, kiểm soát và quản trị các số liệu tài chính nhằm định hướng, xác định tầm nhìn chiến lược 
- Các nhóm công việc: Tài Chính Kế Toán và Chiến lược Doanh Nghiệp 
2. Nhóm nghề nghiệp “rủi ro, kiểm toán và tuân thủ”: 
- Tính chất công việc: Đảm bảo tính tuân thủ theo quy định nội bộ của tổ chức và đảm bảo tổ chức tuân thủ đúng quy định pháp luật 
- Các nhóm công việc: 
+ Nhóm công việc “Rủi ro”: Chịu trách nhiệm đánh giá, phân tích và quản lý rủi ro => đưa ra biện pháp phòng ngừa, quản lý rủi ro hiệu quả 
+ Nhóm công việc “Pháp chế và Tuân thủ”: Đảm bảo tuân thủ các quy định, quy trình pháp lý trong hoạt động của ngân hàng 
+ Nhóm công việc Kiểm toán nội bộ: Thực hiện kiểm tra, phân tích và đưa ra nhận định về hệ thống quản lý, quy trình thực hiện công việc của ngân hàng 
3. Nhóm nghề nghiệp Công nghệ và đổi mới: 
- Tính chất công việc: Thúc đẩy sự phát triển và đổi mới trong ngành ngân hàng thông qua việc nghiên cứu và áp dụng công nghệ tiên tiến để cải thiện trải nghiệm cho cả nội bộ và khách hàng; tăng cường hiệu quả hoạt động và đem lại giá trị lớn cho ngân hàng. Đây cũng là nhóm nghề nghiệp cho ra những sản phẩm chuyển dịch số có 1-0-2 trên thị trường của MB 4. 
4. Nhóm nghề nghiệp Tiếp thị và truyền thông 
- Tính chất công việc:  Đưa các sản phẩm ra thị trường và tới tay khách hàng. Xây dựng và phát triển chiến lược truyền thông, tiếp thị hiệu quả, tạo ra các chiến dịch quảng cáo sáng tạo, phát triển nội dung hấp dẫn qua các phương tiện truyền thông, nhằm đẩy mạnh nhận diện thương hiệu của ngân hàng 
5. Nhóm nghề nghiệp Quản trị Nhân sự:
- Tính chất công việc:  Xây dựng tổ chức thành công thông qua con người. Thu hút, tuyển dụng nhân tài; đào tạo, phát triển và giữ chân nhân viên; quản lý các chế độ đãi ngộ, phúc lợi và lợi ích cho người lao động. Tham gia xây dựng chính sách, quy trình liên quan đến nhân sự. Tham gia các hoạt động quản lý hiệu suất và phát triển nguồn lực tổng thể của tổ chức để ứng phó trước những sự biến đổi của thị trường. Xây dựng môi trường làm việc tích cực, tạo điều kiện thuận lợi cho sự phát triển cá nhân của từng thành viên trong tổ chức 
6. Nhóm nghề nghiệp Vận hành ngân hàng:
- Tính chất công việc:   Là mắt xích quan trọng trong mọi hoạt động của ngân hàng, nhóm nghề nghiệp này giúp mọi hoạt động của các phòng, ban, bộ phận diễn ra trơn tru và đúng theo quy trình của hệ thống.Tối ưu hóa quy trình và cải thiện hiệu suất làm việc, không chỉ đảm bảo mọi hoạt động diễn ra theo đúng tiến độ mà còn diễn ra nhanh chóng, kịp thời để đáp ứng nhu cầu của khách hàng và thị trường 7. 
7. Nhóm nghề nghiệp kinh doanh
- Tính chất công việc:  Tiếp xúc với khách hàng và cung cấp các dịch vụ tài chính để đáp ứng nhu cầu khách hàng của MB
Nhận xét: Mỗi nhóm công việc phụ trách một phân khúc khách hàng khác nhau nhưng đều phối hợp trơn tru, đảm bảo công việc của ngân hàng được vận hành một cách ổn định
"
5,Quân,"Dấu ấn quan trọng MB Bank trong năm 2023
Insight về thông tin tuyển dụng, môi trường làm việc","Insight về thông tin tuyển dụng, môi trường làm việc
Dấu ấn quan trọng: 
• Doanh nghiệp xuất sắc chấu Á 2023, Ngân hàng chuyển đổi số tiêu biểu, Hội đồng quản trị có tính đa dạng cao 
• Top 50 Công ty niêm yết tốt nhất, Top 3 Doanh nghiệp niêm yết được nhà đầu tư yêu thích nhất 
• Top 3 Nơi làm việc tốt nhất Việt Nam ngành ngân hàng khối Doanh nghiệp lớn 
• Top 50 Thương hiệu nhà tuyển dụng hấp dẫn với sinh viên Việt Nam 
• Giải thưởng Sao Khuê vinh danh 3 sản phẩm số của MB là vòng thời trang thanh toán Stellar, thẻ MB JCB Be The Sky và phần mềm quản lý bán hàng mSeller ( lần thứ 6 liên tiếp MB nhận giải thưởng này )"
6,Quân,"Số lượng về địa bàn kinh doanh của MB trong năm 2023
Insight về thông tin tuyển dụng, môi trường làm việc","Insight về thông tin tuyển dụng, môi trường làm việc
Đến tháng 12/2023, hệ thống mạng lưới MB có 322 điểm mạng lưới được cấp phép hoạt động, tăng 13 điểm mạng lưới so với năm 2022 với 01 hội sở chính; 319 Chi nhánh, Phòng giao dịch trong nước; 03 điểm mạng lưới tại nước ngoài (01 CN Lào; 01 Văn phòng đại diện Nga; 01 Ngân hàng đại chúng TNHH MB Campuchia).

Khu vực miền Bắc:
Tổng số điểm giao dịch: 153
Các tỉnh, thành phố và số điểm giao dịch cụ thể:
Hà Nội: 71
Hải Phòng: 13
Quảng Ninh: 8
Việt Trì: 5
Hưng Yên, Bắc Ninh, Hải Dương, Ninh Bình, Thanh Hóa, Nghệ An, Thái Nguyên, Nam Định: 4 mỗi nơi
Lào Cai, Thái Bình, Hà Tĩnh: 3 mỗi nơi
Bắc Giang, Sơn La, Hà Nam: 2 mỗi nơi
Cao Bằng, Yên Bái, Điện Biên, Hòa Bình, Lạng Sơn, Tuyên Quang: 1 mỗi nơi
Khu vực miền Trung:
Tổng số điểm giao dịch: 45
Các tỉnh, thành phố và số điểm giao dịch cụ thể:
Huế: 4
Quảng Trị, Quảng Nam, Quảng Ngãi, Bình Định, Khánh Hòa, Đắk Lắk: 4 mỗi nơi
Đà Nẵng: 8
Gia Lai: 3
Đắk Nông, Kon Tum, Phú Yên: 1 mỗi nơi
Khu vực miền Nam:
Tổng số điểm giao dịch: 121
Các tỉnh, thành phố và số điểm giao dịch cụ thể:
Hồ Chí Minh: 52
An Giang, Bình Phước, Bình Thuận: 4 mỗi nơi
Bà Rịa Vũng Tàu: 7
Bến Tre, Kiên Giang, Lâm Đồng: 3 mỗi nơi
Bình Dương, Cần Thơ, Đồng Nai, Đồng Tháp, Long An: 5 mỗi nơi
Sóc Trăng, Tây Ninh, Trà Vinh, Bạc Liêu, Hậu Giang, Tiền Giang, Vĩnh Long: 2 mỗi nơi
Cà Mau: 1
Nhận xét
Hà Nội, Đà Nẵng và Hồ Chí Minh là những nơi có số lượng điểm giao dịch cao nhất trong từng khu vực tương ứng.
Các tỉnh thành khác có số lượng điểm giao dịch nhỏ hơn, cho thấy sự phân bổ rộng rãi của mạng lưới ngân hàng này trên khắp cả nước."
7,Quân,"Định hướng chiến lược của MB trong năm 2023 
Insight về thông tin tuyển dụng, môi trường làm việc","Insight về thông tin tuyển dụng, môi trường làm việc
Năng lực công nghệ và chuyên môn ngân hàng 
+ Nền tảng số kết nối sâu rộng: 
+ Là tổ chức chú trọng khách hàng liên tục 
+ Là tổ chức có năng lực công nghệ vượt trội 
+ Là tổ chức quyết định dựa trên khách hàng và dữ liệu 
+ Là tổ chức đầu tư cho kinh doanh nền tảng 
+ Là tổ chức dám thử nghiệm và chấp nhận thất bại 
+ Là tổ chức có phương pháp làm việc khoa học 
+ Là tổ chức học hỏi và vui vẻ 
+ Là tổ chức phát triển bền vững"
8,Quân,"Đóng góp tiêu biểu của MB trong phát triển bền vững trong năm 2023 
Insight về thông tin tuyển dụng, môi trường làm việc","Insight về thông tin tuyển dụng, môi trường làm việc
Chuyển đổi số: 
+ Tiếp tục đẩy mạnh chuyển đổi số và chuyển dịch khách hàng lên kênh số: 
+ Tỷ lệ giao dịch trên kênh số đạt 96,7% tương đương 2,3 tỷ giao dịch, tăng trưởng 87% so với 2022 
+ khẳng định vị trí dẫn đầu về giao dịch toàn ngành ngân hàng và tương đương với tỷ lệ giao dịch kênh số của các ngân hàng Top đầu châu Á. 
+ Đưa ra thị trường các sản phẩm số giúp đẩy mạnh thanh toán không dùng tiền mặt tích hợp trên App MBBank và Biz MBBank như: Vòng tay thanh toán Stellar; Phát triển công cụ thanh toán VietQR tiện lợi, dễ dàng cho khách hàng doanh nghiệp. 
+ Chuyển tiền quốc tế online (cá nhân và doanh nghiệp) chuyển dịch 43%, tương đương 62 nghìn giao dịch, chuyển dịch giải ngân số đạt 50%, tương đương 233 nghìn giao dịch, thu nợ chuyển dịch 95%, tương đương 1,2 triệu giao dịch. 
+ Triển khai Smartscan - số hóa hồ sơ: 
+ Chuyển dịch thẻ phi vật lý đạt 67%, tương đương 4,8 triệu thẻ phi vật lý, tiết kiệm chi phí in ấn và đóng gói thẻ. 
 Triển khai Smartscan giúp lưu trữ 10 triệu file hồ sơ của khách hàng định danh, giảm 90% thời gian tìm kiếm và tra cứu hồ sơ, chi phí vận hành và số lượng nhân sự vận hành/ khách hàng active giảm từ 25 30% so với 2022. 

Tín dụng xanh : MB tích cực phát triển các sản phẩm tín dụng xanh đa dạng, phù hợp, hiệu quả tới đối tượng khách hàng mục tiêu: 
+ Tổng dư cấp tín dụng xanh (bao gồm cho vay và trái phiếu) năm 2023 đạt 64.960 tỷ đồng, cho 3.762 khách hàng, đang trên đà tăng so với các năm trước và tăng 47% so với năm 2022. 
+ Xây dựng các trường dữ liệu để nhận diện được các khách hàng/ sản phẩm/ chương trình xanh trên hệ thống. 

Môi trường: 
+ Chiến dịch HiGreen – Bình minh xanh triển khai giai đoạn 1 - Thử thách chạy bộ, đã thu hút gần 30.000 người trên toàn quốc tham gia, hoàn thành 100% mục tiêu với 3 triệu km chạy bộ, 8,1 tỷ tiền tài trợ đối ứng trong năm 2023. 
+ Ra mắt thẻ HiGreen và kết nối với các đối tác theo tiêu chí có sứ mệnh, chiến lược bền vững, hoạt động tuân thủ tiêu chí ESG như MasterCard, Xanh SM, Coolmate, Cocoon. . . 
+ MB thay thế loại bóng chiếu sáng tiết kiệm 40% tại văn phòng. 
+ Rác thải nội bộ được phân loại ngay từ đầu nguồn tại điểm thu rác các tầng văn phòng bao gồm loại hữu cơ dễ phân hủy và vô cơ khó phân hủy 

Con người MB: Các chương trình nổi bật hướng tới xây dựng văn hóa bền vững trong tổ chức bao gồm: 
+ Chương trình Flexi Z thu hút gần 1.700 nhân sự tập đoàn với mục tiêu đào tạo nhân sự 9x cho vị trí lãnh đạo cấp cao. 
+ Đào tạo bồi dưỡng nâng cao chất lượng nguồn lực thông qua chuỗi các chương trình đào tạo MB Leader, năng lực Digital, Bee Smart... Đặc biệt, các lớp đào tạo nhận thức về Phát triển bền vững được tổ chức trong năm 2023 cho hơn 120 cán bộ nhân viên đến từ khối Hội sở để đẩy mạnh hiệu quả triển khai tại các đơn vị. 
+ Xây dựng Bộ cẩm nang MB 1688 - Phương pháp làm việc của người MB giúp cán bộ nhân viên MB chuyển đổi tư duy số, trang bị các phương pháp số để thực thi công việc, phục vụ khách hàng theo một cách nhất quán với tầm nhìn, mục tiêu, định hướng của MB. 
+ Triển khai phong trào sáng kiến cải tiến hoạt động, sản phẩm dịch vụ (Beevoice), nâng cao tiếng nói của các MBer. 
+ Tổng số lượng học viên tham gia các khóa học trong năm 2023: 11.737 CBNV. 
+ Số giờ đào tạo bình quân năm 2023: 51,22 giờ (bao gồm cả đào tạo tân tuyển). 

Cộng đồng: 
+ Hơn 100 chương trình an sinh xã hội với tổng kinh phí đạt 247 tỷ đồng. 
+ MB đã có điểm giao dịch tại 05/10 tỉnh khó khăn nhất cả nước (Sơn La, Điện Biên, Gia Lai, Lào Cai, Yên Bái). 
+ Nền tảng xã hội thiện nguyện cung cấp tiện ích cho gần 1.200 tổ chức và cá nhân gây quỹ, tổ chức hơn 3.200 chiến dịch tính tới hết năm 2023"
