,topic,content,summary,full_content
0,Giải thưởng - thành tích,"Nhóm giải thưởng, thành tích về Công nghệ/Đổi mới và Số hóa:
- Giải thưởng Sao Khuê 2023. Đây cũng là lần thứ năm liên tiếp (2019-2023) MB nhận giải thưởng danh giá 
- Breakthrough Digital Initiatives 2023 – Sáng kiến số hóa đột phá - trao tặng bởi Tổ chức thẻ Quốc tế Mastercard 
- Innovation Excellence Award do Oracle vinh danh 
- Model Risk Manager (Đơn vị Quản trị rủi ro kiểu mẫu) nhờ những nỗ lực đẩy mạnh ứng dụng công nghệ cho tất cả các mảng QTRR - trao tặng bởi Celent - Công ty Nghiên cứu và Tư vấn cho ngành Công nghiệp dịch vụ tài chính toàn cầu 3.2. ","MB đã nhận nhiều giải thưởng về công nghệ và số hóa, bao gồm Sao Khuê 2023, Breakthrough Digital Initiatives 2023, Innovation Excellence Award và Model Risk Manager từ Celent.","Giải thưởng - thành tích
Nhóm giải thưởng, thành tích về Công nghệ/Đổi mới và Số hóa:
- Giải thưởng Sao Khuê 2023. Đây cũng là lần thứ năm liên tiếp (2019-2023) MB nhận giải thưởng danh giá 
- Breakthrough Digital Initiatives 2023 – Sáng kiến số hóa đột phá - trao tặng bởi Tổ chức thẻ Quốc tế Mastercard 
- Innovation Excellence Award do Oracle vinh danh 
- Model Risk Manager (Đơn vị Quản trị rủi ro kiểu mẫu) nhờ những nỗ lực đẩy mạnh ứng dụng công nghệ cho tất cả các mảng QTRR - trao tặng bởi Celent - Công ty Nghiên cứu và Tư vấn cho ngành Công nghiệp dịch vụ tài chính toàn cầu 3.2. "
1,Giải thưởng - thành tích,"Nhóm giải thưởng thành tích về Tài chính - Ngân hàng: 
- Top 5 ngân hàng thương mại uy tín Việt Nam năm 2023 
- Đón nhận 2 giải thưởng: 
   + Ngân hàng Chuyển đổi Số Tiêu biểu và Ngân hàng có Sản phẩm Dịch vụ Sáng tạo Tiêu biểu trong sự kiện Ngân hàng Việt Nam Tiêu biểu, tại sự kiện giải thưởng Ngân hàng Việt Nam tiêu biểu được tổ chức bởi Tập đoàn Dữ liệu Quốc Tế (IDG) 
   + Ngân hàng tư nhân có chỉ số sức mạnh thương hiệu lớn nhất Việt Nam 
- Top 2 Thương hiệu mạnh nhất Việt Nam 2023 
- Ngân hàng tư nhân tăng trưởng thứ hạng nhanh nhất Việt Nam 
- Dựa trên giá trị thương hiệu (2022 xếp thứ 17, 2023 xếp thứ 13) MB trở thành top 10 Thương hiệu có giá trị nhất dựa trên giá trị nhận thức bền vững ","MB đạt nhiều giải thưởng uy tín năm 2023, bao gồm Top 5 ngân hàng thương mại uy tín, Ngân hàng Chuyển đổi Số Tiêu biểu, và Top 2 Thương hiệu mạnh nhất Việt Nam.","Giải thưởng - thành tích
Nhóm giải thưởng thành tích về Tài chính - Ngân hàng: 
- Top 5 ngân hàng thương mại uy tín Việt Nam năm 2023 
- Đón nhận 2 giải thưởng: 
   + Ngân hàng Chuyển đổi Số Tiêu biểu và Ngân hàng có Sản phẩm Dịch vụ Sáng tạo Tiêu biểu trong sự kiện Ngân hàng Việt Nam Tiêu biểu, tại sự kiện giải thưởng Ngân hàng Việt Nam tiêu biểu được tổ chức bởi Tập đoàn Dữ liệu Quốc Tế (IDG) 
   + Ngân hàng tư nhân có chỉ số sức mạnh thương hiệu lớn nhất Việt Nam 
- Top 2 Thương hiệu mạnh nhất Việt Nam 2023 
- Ngân hàng tư nhân tăng trưởng thứ hạng nhanh nhất Việt Nam 
- Dựa trên giá trị thương hiệu (2022 xếp thứ 17, 2023 xếp thứ 13) MB trở thành top 10 Thương hiệu có giá trị nhất dựa trên giá trị nhận thức bền vững "
2,Giải thưởng - thành tích,"Nhóm giải thưởng, thành tích về Tuyển dụng/Nguồn nhân lực: 
- Top 3 Nơi làm việc tốt nhất Việt Nam ngành Ngân hàng, Khối Doanh nghiệp lớn 
- Top 50 thương hiệu nhà tuyển dụng hấp dẫn với sinh viên Việt Nam 2023 - trao tặng bởi Alphabe",MB đạt Top 3 Nơi làm việc tốt nhất Việt Nam ngành Ngân hàng và Top 50 thương hiệu nhà tuyển dụng hấp dẫn với sinh viên Việt Nam 2023.,"Giải thưởng - thành tích
Nhóm giải thưởng, thành tích về Tuyển dụng/Nguồn nhân lực: 
- Top 3 Nơi làm việc tốt nhất Việt Nam ngành Ngân hàng, Khối Doanh nghiệp lớn 
- Top 50 thương hiệu nhà tuyển dụng hấp dẫn với sinh viên Việt Nam 2023 - trao tặng bởi Alphabe"
3,,"- 30 năm thành lập: Từ một ngân hàng chỉ với 25 nhân sự, sau 30 năm, MB chuyển mình thành một tập đoàn tài chính đa năng, không ngừng tăng tốc chuyển đổi số, với hơn 10.000 nhân sự 
- Tầm nhìn: Trở thành doanh nghiệp số - Tập đoàn tài chính dẫn đầu => 2018, MB MB sau 5 năm chuyển đổi số: Doanh thu tăng đều đặn 18-20%/năm mà gần như không tăng về quy mô chi nhánh và nhân viên, dẫn đầu về lượng người dùng app. 
- Năm 2021, MB triển khai 201 dự án công nghệ, khoảng 10 giờ làm việc xuất hiện một dự án công nghệ mới. 
- MB triển khai 223 dự án công nghệ trong năm 2022, tức trung bình một dự án công nghệ được hoàn thành chỉ trong 1,6 ngày
- MB sau 5 năm chuyển đổi số: Doanh thu tăng đều đặn 18-20%/năm mà không cần thêm nhân viên, top đầu về lượng người dùng app.","MB, sau 30 năm, đã trở thành tập đoàn tài chính đa năng với hơn 10.000 nhân sự, dẫn đầu về chuyển đổi số và lượng người dùng app, với doanh thu tăng 18-20%/năm.","
- 30 năm thành lập: Từ một ngân hàng chỉ với 25 nhân sự, sau 30 năm, MB chuyển mình thành một tập đoàn tài chính đa năng, không ngừng tăng tốc chuyển đổi số, với hơn 10.000 nhân sự 
- Tầm nhìn: Trở thành doanh nghiệp số - Tập đoàn tài chính dẫn đầu => 2018, MB MB sau 5 năm chuyển đổi số: Doanh thu tăng đều đặn 18-20%/năm mà gần như không tăng về quy mô chi nhánh và nhân viên, dẫn đầu về lượng người dùng app. 
- Năm 2021, MB triển khai 201 dự án công nghệ, khoảng 10 giờ làm việc xuất hiện một dự án công nghệ mới. 
- MB triển khai 223 dự án công nghệ trong năm 2022, tức trung bình một dự án công nghệ được hoàn thành chỉ trong 1,6 ngày
- MB sau 5 năm chuyển đổi số: Doanh thu tăng đều đặn 18-20%/năm mà không cần thêm nhân viên, top đầu về lượng người dùng app."
4,,"- Chủ tịch HĐQT Lưu Trung Thái chia sẻ thêm về điều này “MB xác định các nền tảng số sẽ đóng góp khoảng 50% doanh thu cho ngân hàng trong vòng 4 năm nữa. Hiện nay, sau khoảng 4 năm triển khai chiến lược này thì doanh thu trên nền tảng số đã đạt 20%” => “Thực sự quá trình chuyển đổi số không có nghĩa chúng ta phải lập tức đầu tư số tiền lớn. Chuyển đổi số hay xây dựng các nền tảng bắt đầu từ những việc nhỏ rồi kiểm nghiệm. Sau khi những kiểm nghiệm có kết quả tương đối thành công thì mới chuyển sang đầu tư lớn. Khi có dấu hiệu là đã đi đúng hướng, MB đã đầu tư rất lớn""","MB dự kiến các nền tảng số sẽ đóng góp 50% doanh thu trong 4 năm tới, hiện đã đạt 20% sau 4 năm triển khai chiến lược chuyển đổi số.","
- Chủ tịch HĐQT Lưu Trung Thái chia sẻ thêm về điều này “MB xác định các nền tảng số sẽ đóng góp khoảng 50% doanh thu cho ngân hàng trong vòng 4 năm nữa. Hiện nay, sau khoảng 4 năm triển khai chiến lược này thì doanh thu trên nền tảng số đã đạt 20%” => “Thực sự quá trình chuyển đổi số không có nghĩa chúng ta phải lập tức đầu tư số tiền lớn. Chuyển đổi số hay xây dựng các nền tảng bắt đầu từ những việc nhỏ rồi kiểm nghiệm. Sau khi những kiểm nghiệm có kết quả tương đối thành công thì mới chuyển sang đầu tư lớn. Khi có dấu hiệu là đã đi đúng hướng, MB đã đầu tư rất lớn"""
5,,"- Chủ tịch HĐQT Lưu Trung Thái bày tỏ - “95% là tỷ lệ giữ chân nhân sự có thâm niên trên 3 năm trong năm 2023” 
Lý do: 
+ Chế độ lương thưởng và phúc lợi của MB thường xuyên được điều chỉnh phù hợp với mức độ trưởng thành và khả năng quản trị của tổ chức trong giai đoạn mới, thu hút và giữ chân nhân tài nhằm thực hiện các mục tiêu chiến lược 2022 – 2026 
+ Năm 2022, thu nhập bình quân của cán bộ nhân viên đạt 35.21 triệu đồng trên tháng, tăng 11% so với năm 2021. 
+ Năm 2023, thu nhập bình quân của cán bộ nhân viên đạt 35,4 triệu đồng/tháng, duy trì mức thu nhập không thấp hơn năm 2022 (35,21 triệu đồng/tháng) trong điều kiện nền kinh tế năm 2023 vô cùng khó khăn sau đại dịch Covid 
+ Internal recruitment - Tuyển dụng nội bộ được chú trọng
+ Kinh doanh là trụ cột, tín dụng là trái tim của mọi ngân hàng, đó là lí do mà Chủ tịch, Tổng Giám đốc của MB đều đi lên từ vị trí Chuyên viên Khách hàng Cá nhân","MB giữ chân 95% nhân sự thâm niên trên 3 năm nhờ chế độ lương thưởng, phúc lợi hấp dẫn, thu nhập bình quân năm 2023 đạt 35,4 triệu đồng/tháng, và chú trọng tuyển dụng nội bộ.","
- Chủ tịch HĐQT Lưu Trung Thái bày tỏ - “95% là tỷ lệ giữ chân nhân sự có thâm niên trên 3 năm trong năm 2023” 
Lý do: 
+ Chế độ lương thưởng và phúc lợi của MB thường xuyên được điều chỉnh phù hợp với mức độ trưởng thành và khả năng quản trị của tổ chức trong giai đoạn mới, thu hút và giữ chân nhân tài nhằm thực hiện các mục tiêu chiến lược 2022 – 2026 
+ Năm 2022, thu nhập bình quân của cán bộ nhân viên đạt 35.21 triệu đồng trên tháng, tăng 11% so với năm 2021. 
+ Năm 2023, thu nhập bình quân của cán bộ nhân viên đạt 35,4 triệu đồng/tháng, duy trì mức thu nhập không thấp hơn năm 2022 (35,21 triệu đồng/tháng) trong điều kiện nền kinh tế năm 2023 vô cùng khó khăn sau đại dịch Covid 
+ Internal recruitment - Tuyển dụng nội bộ được chú trọng
+ Kinh doanh là trụ cột, tín dụng là trái tim của mọi ngân hàng, đó là lí do mà Chủ tịch, Tổng Giám đốc của MB đều đi lên từ vị trí Chuyên viên Khách hàng Cá nhân"
6,,"Các nhóm nghề nghiệp trong MB bao gồm:
1. Tài chính & Chiến lược: Phân tích tài chính, định hướng chiến lược.
2. Rủi ro, Kiểm toán và Tuân thủ: Quản lý rủi ro, đảm bảo tuân thủ quy định.
3. Công nghệ và Đổi mới: Phát triển công nghệ, cải thiện trải nghiệm khách hàng.
4. Tiếp thị và Truyền thông: Quảng bá sản phẩm, xây dựng thương hiệu.
5. Quản trị Nhân sự: Phát triển nguồn nhân lực, xây dựng môi trường làm việc.
6. Vận hành ngân hàng: Tối ưu hóa quy trình, đảm bảo hoạt động trơn tru.
7. Kinh doanh: Tiếp xúc khách hàng, cung cấp dịch vụ tài chính.

Mỗi nhóm công việc phụ trách một phân khúc khách hàng khác nhau nhưng đều phối hợp trơn tru, đảm bảo công việc của ngân hàng được vận hành một cách ổn định
Sơ đồ liên kết các nhóm có thể xem tại: https://imgur.com/KCZUvt3","Các nhóm nghề nghiệp trong MB bao gồm Tài chính & Chiến lược, Rủi ro, Công nghệ, Tiếp thị, Nhân sự, Vận hành và Kinh doanh, phối hợp trơn tru để đảm bảo hoạt động ngân hàng ổn định.","
Các nhóm nghề nghiệp trong MB bao gồm:
1. Tài chính & Chiến lược: Phân tích tài chính, định hướng chiến lược.
2. Rủi ro, Kiểm toán và Tuân thủ: Quản lý rủi ro, đảm bảo tuân thủ quy định.
3. Công nghệ và Đổi mới: Phát triển công nghệ, cải thiện trải nghiệm khách hàng.
4. Tiếp thị và Truyền thông: Quảng bá sản phẩm, xây dựng thương hiệu.
5. Quản trị Nhân sự: Phát triển nguồn nhân lực, xây dựng môi trường làm việc.
6. Vận hành ngân hàng: Tối ưu hóa quy trình, đảm bảo hoạt động trơn tru.
7. Kinh doanh: Tiếp xúc khách hàng, cung cấp dịch vụ tài chính.

Mỗi nhóm công việc phụ trách một phân khúc khách hàng khác nhau nhưng đều phối hợp trơn tru, đảm bảo công việc của ngân hàng được vận hành một cách ổn định
Sơ đồ liên kết các nhóm có thể xem tại: https://imgur.com/KCZUvt3"
7,,"Nhóm nghề nghiệp “Tài chính & Chiến lược” gồm các nhóm công việc: 
- Tính chất công việc: Phân tích, báo cáo, kiểm soát và quản trị các số liệu tài chính nhằm định hướng, xác định tầm nhìn chiến lược 
- Các nhóm công việc: Tài Chính Kế Toán và Chiến lược Doanh Nghiệp","Nhóm nghề nghiệp ""Tài chính & Chiến lược"" tại ngân hàng MB bao gồm phân tích, báo cáo, kiểm soát tài chính và quản trị chiến lược, với các công việc chính là Tài Chính Kế Toán và Chiến lược Doanh Nghiệp.","
Nhóm nghề nghiệp “Tài chính & Chiến lược” gồm các nhóm công việc: 
- Tính chất công việc: Phân tích, báo cáo, kiểm soát và quản trị các số liệu tài chính nhằm định hướng, xác định tầm nhìn chiến lược 
- Các nhóm công việc: Tài Chính Kế Toán và Chiến lược Doanh Nghiệp"
8,,"Nhóm nghề nghiệp “rủi ro, kiểm toán và tuân thủ”: 
- Tính chất công việc: Đảm bảo tính tuân thủ theo quy định nội bộ của tổ chức và đảm bảo tổ chức tuân thủ đúng quy định pháp luật 
- Các nhóm công việc: 
+ Nhóm công việc “Rủi ro”: Chịu trách nhiệm đánh giá, phân tích và quản lý rủi ro => đưa ra biện pháp phòng ngừa, quản lý rủi ro hiệu quả 
+ Nhóm công việc “Pháp chế và Tuân thủ”: Đảm bảo tuân thủ các quy định, quy trình pháp lý trong hoạt động của ngân hàng 
+ Nhóm công việc Kiểm toán nội bộ: Thực hiện kiểm tra, phân tích và đưa ra nhận định về hệ thống quản lý, quy trình thực hiện công việc của ngân hàng ","Nhóm nghề nghiệp ""rủi ro, kiểm toán và tuân thủ"" tại ngân hàng MB đảm bảo tuân thủ quy định nội bộ và pháp luật, quản lý rủi ro, tuân thủ pháp chế và thực hiện kiểm toán nội bộ.","
Nhóm nghề nghiệp “rủi ro, kiểm toán và tuân thủ”: 
- Tính chất công việc: Đảm bảo tính tuân thủ theo quy định nội bộ của tổ chức và đảm bảo tổ chức tuân thủ đúng quy định pháp luật 
- Các nhóm công việc: 
+ Nhóm công việc “Rủi ro”: Chịu trách nhiệm đánh giá, phân tích và quản lý rủi ro => đưa ra biện pháp phòng ngừa, quản lý rủi ro hiệu quả 
+ Nhóm công việc “Pháp chế và Tuân thủ”: Đảm bảo tuân thủ các quy định, quy trình pháp lý trong hoạt động của ngân hàng 
+ Nhóm công việc Kiểm toán nội bộ: Thực hiện kiểm tra, phân tích và đưa ra nhận định về hệ thống quản lý, quy trình thực hiện công việc của ngân hàng "
9,,"Nhóm nghề nghiệp Công nghệ và đổi mới: 
- Tính chất công việc: Thúc đẩy sự phát triển và đổi mới trong ngành ngân hàng thông qua việc nghiên cứu và áp dụng công nghệ tiên tiến để cải thiện trải nghiệm cho cả nội bộ và khách hàng; tăng cường hiệu quả hoạt động và đem lại giá trị lớn cho ngân hàng. Đây cũng là nhóm nghề nghiệp cho ra những sản phẩm chuyển dịch số có 1-0-2 trên thị trường của MB.","Nhóm nghề nghiệp Công nghệ và đổi mới tại MB thúc đẩy phát triển, áp dụng công nghệ tiên tiến, cải thiện trải nghiệm, tăng hiệu quả hoạt động và tạo ra sản phẩm chuyển dịch số độc đáo.","
Nhóm nghề nghiệp Công nghệ và đổi mới: 
- Tính chất công việc: Thúc đẩy sự phát triển và đổi mới trong ngành ngân hàng thông qua việc nghiên cứu và áp dụng công nghệ tiên tiến để cải thiện trải nghiệm cho cả nội bộ và khách hàng; tăng cường hiệu quả hoạt động và đem lại giá trị lớn cho ngân hàng. Đây cũng là nhóm nghề nghiệp cho ra những sản phẩm chuyển dịch số có 1-0-2 trên thị trường của MB."
