h,Tiểu vùng,Chi nhánh,Đơn vị trực thuộc,QT. Tỉnh/ Thành,QT. Quận/ Huyện,Địa chỉ
Khu vực Hà Nội,Hà Nội 1,CN. Bà Triệu,Trụ sở,Hà Nội,Quận Hoàn Kiếm,Số 18 Đường Ngô Quyền - Phường Tràng Tiền - Quận Hoàn Kiếm - Hà Nội
Khu vực Hà Nội,Hà Nội 1,CN. Bạch Mai,Trụ sở,Hà Nội,Quận Hai Bà Trưng,"Một phần Tầng 1 Trung tâm thương mại Chợ Mơ, số 459C phố Bạch Mai - Phường Trương Định - Quận Hai Bà Trưng - Hà Nội"
Khu vực Hà Nội,Hà Nội 1,CN. Điện Biên Phủ,Trụ sở,Hà Nội,Quận Ba Đình,Số 28A đường Điện Biên Phủ - Phường Điện Biên - Quận Ba Đình - Hà Nội
Khu vực Hà Nội,Hà Nội 1,CN. Đông Anh,Trụ sở,Hà Nội,Huyện Đông Anh,"Tầng 1,2,3 Tòa nhà Trung tâm Du lịch và Thương mại Tổng hợp Cổ Loa, Tổ 3, Thị trấn Đông Anh, Huyện Đông Anh, Hà Nội"
Khu vực Hà Nội,Hà Nội 1,CN. Đông Anh,Phòng giao dịch Sóc Sơn,Hà Nội,Huyện Sóc Sơn,"Một phần thửa đất Khu 1, Khu 2 - Thị Trấn Sóc Sơn - Huyện Sóc Sơn - Hà Nội"
Khu vực Hà Nội,Hà Nội 1,CN. Đống Đa,Trụ sở,Hà Nội,Quận Đống Đa,"Một phần tầng 1, tầng 2 tòa nhà Trụ sở làm việc Trung tâm Phát thanh truyền hình Quân đội, số 165 Xã Đàn - Phường Nam Đồng - Quận Đống Đa - Hà Nội"
Khu vực Hà Nội,Hà Nội 1,CN. Đống Đa,Phòng giao dịch Thái Thịnh,Hà Nội,Quận Đống Đa,Số 71 - 73 Thái Thịnh - Phường Thịnh Quang - Quận Đống Đa - Hà Nội
Khu vực Hà Nội,Hà Nội 1,CN. Đống Đa,Phòng giao dịch Hoàng Cầu,Hà Nội,Quận Đống Đa,Tầng 2 - Phường Ô Chợ Dừa - Quận Đống Đa - Hà Nội
Khu vực Hà Nội,Hà Nội 1,CN. Đông Hà Nội,Trụ sở,Hà Nội,Quận Long Biên,63 đường Cổ Linh - Phường Thạch Bàn - Quận Long Biên - Hà Nội
Khu vực Hà Nội,Hà Nội 1,CN. Gia Lâm,Trụ sở,Hà Nội,Huyện Gia Lâm,Số 132 - 134 đường Ngô Xuân Quảng - Thị Trấn Trâu Quỳ - Huyện Gia Lâm - Hà Nội
Khu vực Hà Nội,Hà Nội 1,CN. Hà Thành,Trụ sở,Hà Nội,Quận Ba Đình,47 Phan Đình Phùng - Phường Quán Thánh - Quận Ba Đình - Hà Nội
Khu vực Hà Nội,Hà Nội 1,CN. Hai Bà Trưng,Trụ sở,Hà Nội,Quận Hai Bà Trưng,"Tầng 1 tòa Tower 1, Times city, số 458 Minh Khai - Phường Vĩnh Tuy - Quận Hai Bà Trưng - Hà Nội"
Khu vực Hà Nội,Hà Nội 1,CN. Hai Bà Trưng,Phòng giao dịch Vân Hồ,Hà Nội,Quận Hai Bà Trưng,Số 29 Lê Đại Hành - Phường Lê Đại Hành - Quận Hai Bà Trưng - Hà Nội
Khu vực Hà Nội,Hà Nội 1,CN. Hoàn Kiếm,Trụ sở,Hà Nội,Quận Hoàn Kiếm,"Một phần tầng 1, tầng 2 và tầng 3, Tòa nhà thông tấn xã, Số 77 -79 đường Lý Thường Kiệt - Phường Trần Hưng Đạo - Quận Hoàn Kiếm - Hà Nội"
Khu vực Hà Nội,Hà Nội 1,CN. Hồng Hà,Trụ sở,Hà Nội,Quận Hà Đông,Tầng 1 số 160 đường Phùng Hưng - Phường Phúc La - Quận Hà Đông - Hà Nội
Khu vực Hà Nội,Hà Nội 1,CN. Linh Đàm,Trụ sở,Hà Nội,Quận Hoàng Mai,BT1 Ô 4 Bắc Linh Đàm - Phường Đại Kim - Quận Hoàng Mai - Hà Nội
Khu vực Hà Nội,Hà Nội 1,CN. Long Biên,Trụ sở,Hà Nội,Quận Long Biên,"Tầng 1, 3, 4, 5 số 137C đường Nguyễn Văn Cừ - Phường Ngọc Lâm - Quận Long Biên - Hà Nội"
Khu vực Hà Nội,Hà Nội 1,CN. Long Biên,Phòng giao dịch Yên Viên,Hà Nội,Huyện Gia Lâm,"Tầng 1, số 467 đường Hà Huy Tập - Thị Trấn Yên Viên - Huyện Gia Lâm - Hà Nội"
Khu vực Hà Nội,Hà Nội 1,CN. Lý Nam Đế,Trụ sở,Hà Nội,Quận Hoàn Kiếm,Số 14C đường Lý Nam Đế - Phường Hàng Mã - Quận Hoàn Kiếm - Hà Nội
Khu vực Hà Nội,Hà Nội 1,CN. Lý Thái Tổ,Trụ sở,Hà Nội,Quận Hoàn Kiếm,Số 17 Tông Đản - Phường Tràng Tiền - Quận Hoàn Kiếm - Hà Nội
Khu vực Hà Nội,Hà Nội 1,CN. Mê Linh,Trụ sở,Hà Nội,Huyện Mê Linh,"Thửa đất số 715, tờ bản đồ số 46, tổ dân phố số 7 - Thị trấn Quang Minh - Huyện Mê Linh - Hà Nội"
Khu vực Hà Nội,Hà Nội 1,CN. Minh Khai,Trụ sở,Hà Nội,Quận Hai Bà Trưng,"Tầng 1, 2, 3, 4 số 409, tổ 52, phố Kim Ngưu - Phường Vĩnh Tuy - Quận Hai Bà Trưng - Hà Nội"
Khu vực Hà Nội,Hà Nội 1,CN. Nam Hà Nội,Trụ sở,Hà Nội,Quận Đống Đa,"Một phần tầng 1, tầng 2 tòa nhà số 8 Phạm Ngọc Thạch - Phường Kim Liên - Quận Đống Đa - Hà Nội"
Khu vực Hà Nội,Hà Nội 1,CN. Ngô Gia Tự,Trụ sở,Hà Nội,Quận Long Biên,Số 32 đường Ngô Gia Tự - Phường Đức Giang - Quận Long Biên - Hà Nội
Khu vực Hà Nội,Hà Nội 1,CN. Tây Sơn,Trụ sở,Hà Nội,Quận Thanh Xuân,"Tầng 1, 3 tòa nhà số 539 - 539A, phố Vũ Tông Phan - Phường Khương Đình - Quận Thanh Xuân - Hà Nội"
Khu vực Hà Nội,Hà Nội 1,CN. Thanh Trì,Trụ sở,Hà Nội,Huyện Thanh Trì,Tầng 1 tòa nhà An & Huy khu công nghiệp Ngọc Hồi - Xã Ngọc Hồi - Huyện Thanh Trì - Hà Nội
Khu vực Hà Nội,Hà Nội 1,CN. Thanh Xuân,Trụ sở,Hà Nội,Quận Thanh Xuân,"Một phần Tầng 1, tầng 2 tòa nhà Gold Tower, số 275 Nguyễn Trãi - Phường Thanh Xuân Trung - Quận Thanh Xuân - Hà Nội"
Khu vực Hà Nội,Hà Nội 1,CN. Thủ Đô,Trụ sở,Hà Nội,Quận Hai Bà Trưng,Tòa nhà Vinafor số 127 Lò Đúc - Phường Đống Mác - Quận Hai Bà Trưng - Hà Nội
Khu vực Hà Nội,Hà Nội 1,CN. Thường Tín,Trụ sở,Hà Nội,Huyện Thường Tín,"Một phần tầng 1, tầng 2 tòa nhà tại lô số 2, cụm công nghiệp Hà Bình Phương - Xã Hà Hồi - Huyện Thường Tín - Hà Nội"
Khu vực Hà Nội,Hà Nội 1,CN. Thụy Khuê,Trụ sở,Hà Nội,Quận Tây Hồ,Tầng 1 vị trí L1 - A - B tổ hợp dự án số 69B phố Thụy Khuê - Phường Thụy Khuê - Quận Tây Hồ - Hà Nội
Khu vực Hà Nội,Hà Nội 1,CN. Vạn Phúc,Trụ sở,Hà Nội,Quận Hà Đông,"B-TT01-55B-TT01-57, Khu nhà ở Ngân Hà Vạn Phúc - Phường Vạn Phúc - Quận Hà Đông - Hà Nội"
Khu vực Hà Nội,Hà Nội 2,CN. Ba Đình,Trụ sở,Hà Nội,Quận Ba Đình,Số 3 Liễu Giai - Phường Liễu Giai - Quận Ba Đình - Hà Nội
Khu vực Hà Nội,Hà Nội 2,CN. Ba Đình,Phòng giao dịch Vĩnh Phúc 1,Hà Nội,Quận Ba Đình,"Tầng 1 và tầng 2 số 102, 103, 203 nhà K2, khu 7.2 HA Vĩnh Phúc - Phường Vĩnh Phúc - Quận Ba Đình - Hà Nội"
Khu vực Hà Nội,Hà Nội 2,CN. Đan Phượng,Trụ sở,Hà Nội,Huyện Đan Phượng,Km 21 Quốc Lộ 32 - Thị trấn Phùng - Huyện Đan Phượng - Hà Nội
Khu vực Hà Nội,Hà Nội 2,CN. Đông Đô,Trụ sở,Hà Nội,Quận Nam Từ Liêm,109 Phố Nhổn - Phường Phương Canh - Quận Nam Từ Liêm - Hà Nội
Khu vực Hà Nội,Hà Nội 2,CN. Giải Phóng,Trụ sở,Hà Nội,Quận Thanh Xuân,"Một phần tầng 1 và tầng lửng tòa nhà HH2 Dự án Khu hỗn hợp nhà ở, dịch vụ công cộng, văn phòng và trường học (tên thương mại Imperial Plaza) tại địa chỉ số 360 đường Giải Phóng, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội"
Khu vực Hà Nội,Hà Nội 2,CN. Giải Phóng,Phòng giao dịch Tân Mai,Hà Nội,Quận Hoàng Mai,"Số 641, nhà H5, TT Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội"
Khu vực Hà Nội,Hà Nội 2,CN. Hà Đông,Trụ sở,Hà Nội,Quận Hà Đông,"Một phần tầng 1, tầng 2 toàn tháp Thiên niên kỷ số 4 đường Quang Trung - Phường Yết Kiêu - Quận Hà Đông - Hà Nội"
Khu vực Hà Nội,Hà Nội 2,CN. Hà Nội,Trụ sở,Hà Nội,Quận Cầu Giấy,Tầng 1 tòa nhà số 17T2 KDT Trung Hòa Nhân Chính - Phường Trung Hòa - Quận Cầu Giấy - Hà Nội
Khu vực Hà Nội,Hà Nội 2,CN. Hà Nội,Phòng giao dịch Trung Văn,Hà Nội,Quận Thanh Xuân,"Tầng 1 tòa nhà HH2 Bắc Hà, số 15 phố Tố Hữu - Phường Nhân Chính - Quận Thanh Xuân - Hà Nội"
